volatile acidity,citric acid,total sulfur dioxide,sulphates,alcohol
0.655,0.49,151.0,1.14,9.3
0.41,0.41,42.0,0.77,12.6
0.31,0.47,33.0,0.66,10.0
0.62,0.18,50.0,0.6,9.3
0.645,0.49,23.0,0.74,11.1
0.41,0.52,55.0,0.88,11.0
0.43,0.21,37.0,0.91,9.5
0.615,0.0,18.0,0.65,9.2
0.45,0.36,87.0,0.83,10.5
0.56,0.09,22.0,0.61,10.2
0.66,0.03,86.0,0.57,9.7
0.41,0.33,23.0,0.58,11.2
0.48,0.29,16.0,0.72,11.2
0.36,0.3,70.0,0.5,9.4
0.31,0.49,47.0,1.02,10.6
0.685,0.0,22.0,0.6,9.7
0.52,0.45,13.0,0.76,11.4
0.37,0.58,65.0,0.78,10.1
0.36,0.46,44.0,0.85,11.0
0.64,0.21,31.0,0.66,9.8
0.22,0.24,28.0,0.87,10.3
0.38,0.21,35.0,0.47,9.5
0.34,0.21,68.0,0.54,10.1
0.62,0.12,46.0,0.89,11.8
0.43,0.58,40.0,0.49,9.0
0.41,0.58,101.0,0.53,10.0
0.54,0.24,112.0,0.61,9.4
0.56,0.15,65.0,0.6,10.5
0.22,0.48,60.0,0.53,9.4
0.39,0.08,20.0,0.58,9.4
0.35,0.45,88.0,0.43,9.4
0.49,0.36,14.0,0.78,10.9
0.6,0.26,131.0,0.52,9.9
0.735,0.08,41.0,0.71,9.8
0.57,0.31,79.0,0.69,9.5
0.4,0.5,16.0,0.69,12.5
0.855,0.02,23.0,0.6,11.0
0.87,0.26,67.0,0.46,9.2
0.52,0.07,20.0,0.81,9.6
0.43,0.36,37.0,0.56,9.2
0.43,0.45,16.0,0.7,12.5
0.715,0.24,20.0,0.59,9.9
0.75,0.27,89.0,0.45,9.3
0.58,0.02,40.0,0.66,12.6
0.74,0.0,46.0,0.59,12.5
0.29,0.49,60.0,0.61,10.1
0.22,0.3,20.0,0.82,10.0
0.39,0.49,133.0,0.99,9.8
0.61,0.14,42.0,0.59,9.5
0.715,0.22,81.0,0.54,9.5
0.59,0.08,29.0,0.5,9.0
0.41,0.45,14.0,0.49,11.8
0.4,0.51,24.0,0.6,9.3
0.74,0.28,77.0,0.51,9.8
0.51,0.0,54.0,0.93,10.7
0.54,0.09,16.0,0.59,11.5
0.32,0.59,15.0,0.78,9.6
0.31,0.32,36.0,0.56,12.6
0.54,0.26,147.0,0.59,9.7
0.56,0.23,92.0,0.65,10.1
0.56,0.22,24.0,0.82,11.2
0.6,0.0,34.0,0.7,9.9
0.675,0.07,82.0,0.54,10.1
0.68,0.24,28.0,0.6,10.2
0.57,0.02,26.0,0.61,10.2
0.57,0.23,119.0,0.57,9.3
0.66,0.22,23.0,1.2,10.3
0.5,0.55,24.0,0.68,10.9
0.66,0.0,15.0,0.58,12.9
0.51,0.64,15.0,0.66,11.8
0.64,0.17,98.0,0.5,9.5
0.695,0.13,20.0,0.54,10.1
0.51,0.18,28.0,0.73,9.5
0.63,0.01,39.0,0.53,10.8
0.47,0.02,44.0,0.62,12.8
0.49,0.26,74.0,0.62,12.2
0.6,0.0,18.0,0.56,12.2
0.55,0.0,17.0,0.64,9.4
0.64,0.07,23.0,0.58,9.6
0.58,0.01,54.0,0.73,9.7
0.42,0.32,25.0,0.44,10.4
0.61,0.2,65.0,0.58,9.3
0.32,0.42,9.0,0.55,12.3
0.57,0.05,36.0,0.6,10.3
0.61,0.19,69.0,0.5,10.0
0.6,0.29,73.0,0.57,10.0
0.3,0.49,24.0,0.64,12.1
0.5,0.3,17.0,0.71,10.5
0.38,0.21,35.0,0.47,9.5
0.29,0.4,20.0,0.6,10.5
0.645,0.49,23.0,0.74,11.1
0.65,0.02,15.0,0.62,10.4
0.5,0.0,26.0,0.45,9.5
0.56,0.12,28.0,0.5,9.4
0.885,0.27,145.0,0.53,9.4
0.47,0.4,19.0,0.73,10.6
0.32,0.52,44.0,0.77,11.5
0.4,0.4,52.0,0.64,9.2
0.62,0.05,42.0,0.57,11.5
0.44,0.49,19.0,0.63,11.6
0.44,0.42,19.0,0.57,10.4
0.37,0.2,58.0,0.7,9.6
0.38,0.57,12.0,0.55,11.4
0.58,0.23,94.0,0.58,9.5
0.58,0.02,18.0,0.57,9.5
0.19,0.42,30.0,0.69,11.2
0.23,0.37,60.0,0.71,12.1
0.28,0.35,15.0,0.74,11.8
0.35,0.53,16.0,0.65,11.0
0.52,0.12,53.0,0.57,9.1
0.27,0.39,27.0,0.69,11.2
0.57,0.25,89.0,0.9,10.1
0.28,0.48,12.0,0.62,12.4
0.7,0.08,27.0,0.58,10.2
0.78,0.1,87.0,0.53,10.0
0.415,0.68,43.0,0.8,10.0
0.74,0.08,45.0,0.5,9.8
0.55,0.23,48.0,0.64,10.3
0.42,0.17,18.0,0.61,9.2
0.21,0.49,32.0,0.68,11.7
0.65,0.02,25.0,0.67,9.5
0.46,0.29,98.0,0.62,9.8
0.74,0.03,16.0,0.63,11.5
0.915,0.27,23.0,0.47,10.0
0.6,0.06,41.0,0.62,10.1
0.48,0.24,32.0,0.56,10.0
0.785,0.19,98.0,0.52,9.56666666666667
0.6,0.01,37.0,0.61,10.9
0.55,0.03,42.0,0.48,9.0
0.685,0.76,43.0,0.68,11.2
0.36,0.66,8.0,0.53,11.9
0.65,0.06,18.0,0.54,11.95
0.49,0.18,34.0,0.48,9.2
0.59,0.31,62.0,0.63,10.2
0.53,0.6,19.0,0.86,12.4
0.39,0.49,20.0,0.82,10.3
0.61,0.26,88.0,0.53,9.8
0.57,0.06,27.0,0.7,9.6
0.53,0.04,31.0,0.56,10.0
0.39,0.24,7.0,0.58,11.4
0.5,0.36,17.0,0.77,10.8
0.53,0.26,72.0,0.57,9.4
0.12,0.45,21.0,0.76,11.9
0.46,0.31,98.0,0.63,9.5
0.27,0.62,21.0,0.67,9.7
0.38,0.31,29.0,0.76,11.3
0.31,0.72,29.0,0.82,9.8
0.56,0.19,105.0,0.54,9.5
0.6,0.08,7.0,0.37,13.0
0.82,0.14,23.0,0.63,9.8
1.02,0.02,11.0,0.49,11.0
0.715,0.2,38.0,0.64,9.4
0.18,0.4,20.0,0.7,11.1
0.43,0.02,28.0,0.81,10.6
0.18,0.34,58.0,0.78,11.8
0.96,0.2,60.0,0.44,10.9
0.28,0.3,34.0,0.9,11.3
0.41,0.37,23.0,0.56,10.5
0.66,0.0,23.0,0.96,9.9
0.65,0.02,25.0,0.67,9.5
0.88,0.0,67.0,0.68,9.8
1.33,0.0,12.0,0.48,10.9
0.87,0.0,31.0,0.5,9.8
0.53,0.06,44.0,0.83,10.3
0.18,0.37,109.0,0.44,12.7
0.69,0.21,141.0,0.51,9.9
0.885,0.2,31.0,0.46,10.0
0.59,0.0,8.0,0.47,10.3
0.36,0.6,18.0,1.06,9.4
0.38,0.42,13.0,0.75,10.5
0.5,0.0,26.0,0.45,9.5
0.66,0.0,45.0,0.54,9.5
0.49,0.33,85.0,0.58,9.0
0.51,0.02,31.0,0.54,10.5
0.32,0.59,15.0,0.78,9.6
0.53,0.79,77.0,0.77,13.0
0.765,0.04,14.0,0.54,9.7
0.59,0.02,94.0,0.53,9.7
0.605,0.02,31.0,0.53,11.8
0.5,0.21,39.0,0.83,11.1
0.46,0.31,58.0,0.54,9.8
0.64,0.23,38.0,0.59,9.7
0.64,0.22,33.0,0.58,11.0
0.6,0.26,91.0,0.56,9.8
0.645,0.12,44.0,0.71,10.2
0.5,0.0,26.0,0.45,9.5
0.48,0.32,54.0,0.65,10.0
0.26,0.34,47.0,0.78,11.3
0.65,0.02,25.0,0.67,9.5
0.48,0.08,64.0,0.49,9.6
0.41,0.48,20.0,0.79,12.2
0.69,0.0,38.0,0.6,9.3
0.54,0.26,31.0,0.6,9.3
0.43,0.3,39.0,0.46,11.9
0.655,0.03,12.0,0.39,9.5
0.78,0.0,26.0,0.46,9.6
0.59,0.49,47.0,0.56,9.6
0.48,0.07,18.0,0.68,11.2
0.29,0.49,13.0,0.74,10.5
0.58,0.13,36.0,0.53,11.2
0.49,0.1,14.0,0.47,10.5
0.7,0.08,16.0,0.52,12.6
0.22,0.24,28.0,0.87,10.3
0.785,0.52,153.0,0.69,9.3
0.31,0.36,31.0,0.86,12.0
0.39,0.38,29.0,0.74,9.8
0.59,0.01,13.0,0.56,11.4
0.52,0.22,18.0,0.57,9.9
0.61,0.01,25.0,0.73,10.5
0.57,0.12,36.0,0.71,11.3
0.33,0.41,35.0,0.71,11.0
0.38,0.06,49.0,0.52,9.9
0.37,0.69,24.0,0.65,12.8
0.36,0.39,55.0,0.73,10.9
0.63,0.5,26.0,0.6,10.4
0.45,0.73,22.0,0.66,11.2
0.57,0.09,45.0,0.74,12.7
0.785,0.0,13.0,0.61,10.0
0.36,0.39,55.0,0.82,11.0
0.48,0.09,30.0,0.54,11.2
0.615,0.28,72.0,0.53,9.7
0.34,0.45,15.0,0.66,9.2
0.795,0.0,52.0,0.52,11.6
0.56,0.24,58.0,0.56,10.1
0.53,0.24,139.0,0.57,9.5
0.6,0.1,111.0,0.66,9.8
0.49,0.22,24.0,0.83,11.3
0.38,0.6,72.0,0.73,10.5
0.35,0.49,69.0,0.75,10.4
0.2,0.43,51.0,0.81,10.4
0.6,0.0,10.0,0.63,10.4
0.66,0.0,11.0,0.63,12.8
0.66,0.0,31.0,0.63,10.3
0.635,0.36,55.0,0.57,10.4
0.6,0.03,99.0,0.54,10.1
0.24,0.35,27.0,0.59,11.3
0.935,0.43,114.0,0.73,9.2
0.26,0.54,74.0,0.63,11.8
0.34,0.37,13.0,0.62,9.2
0.38,0.51,20.0,0.76,10.4
0.61,0.26,87.0,0.62,9.7
0.58,0.66,47.0,0.57,9.0
0.55,0.35,66.0,0.56,9.2
0.54,0.45,40.0,0.62,9.4
0.61,0.2,60.0,0.4,9.3
0.45,0.43,21.0,0.75,10.2
0.38,0.48,84.0,0.7,9.6
0.43,0.29,66.0,0.64,9.5
0.45,0.63,23.0,0.69,10.9
0.36,0.24,42.0,0.57,11.7
0.67,0.23,96.0,0.48,9.5
0.62,0.19,148.0,0.93,9.2
0.64,0.0,33.0,0.63,11.3
0.41,0.15,94.0,0.58,9.1
0.35,0.49,35.0,0.66,12.0
0.77,0.0,52.0,0.68,9.9
0.725,0.24,62.0,0.56,10.0
0.46,0.14,37.0,0.49,10.7
0.58,0.1,109.0,0.49,9.8
0.36,0.39,55.0,0.73,10.9
0.58,0.23,70.0,0.65,12.5
0.44,0.42,20.0,0.79,11.1
0.55,0.22,72.0,0.63,9.2
0.46,0.14,37.0,0.65,9.8
0.36,0.64,41.0,0.66,12.5
0.41,0.54,41.0,0.76,9.9
0.43,0.24,67.0,0.59,11.1
0.35,0.53,16.0,0.65,11.0
0.55,0.1,51.0,0.76,11.2
0.715,0.01,43.0,0.57,11.8
0.67,0.06,33.0,0.71,9.6
0.74,0.09,10.0,0.57,11.8
0.43,0.25,63.0,0.58,10.5
0.62,0.21,62.0,0.58,9.3
0.64,0.17,130.0,0.54,9.6
0.4,0.65,27.0,0.68,11.3
0.655,0.26,35.0,0.42,9.6
0.36,0.46,44.0,0.85,11.0
0.6,0.5,71.0,0.57,9.7
0.585,0.18,60.0,0.54,9.8
0.725,0.09,17.0,0.49,10.8
0.52,0.38,18.0,0.52,9.4
0.725,0.04,15.0,0.53,9.6
0.35,0.33,47.0,0.81,11.0
0.48,0.04,106.0,0.62,12.2
0.45,0.36,87.0,0.83,10.5
0.28,0.28,100.0,0.39,11.7
0.645,0.49,23.0,0.74,11.1
0.56,0.13,42.0,0.59,9.2
0.28,0.6,22.0,0.68,10.6
0.575,0.22,65.0,0.51,9.2
0.37,0.32,28.0,0.73,11.3
0.47,0.27,38.0,0.85,11.1
0.6,0.5,71.0,0.57,9.7
0.54,0.06,89.0,0.5,10.55
0.31,0.35,28.0,0.83,11.2
0.54,0.04,27.0,0.91,9.4
0.62,0.18,145.0,0.88,9.2
0.795,0.0,26.0,0.83,9.4
0.47,0.47,29.0,0.46,9.5
0.78,0.22,32.0,0.56,10.6
0.6,0.22,105.0,0.49,9.9
0.49,0.32,144.0,0.55,9.5
0.59,0.06,18.0,0.59,10.8
0.4,0.14,40.0,0.63,9.7
0.64,0.02,23.0,0.67,9.4
0.815,0.01,90.0,0.62,10.8
0.59,0.01,43.0,0.58,10.7
0.57,0.0,41.0,0.52,10.8
0.64,0.0,29.0,0.6,10.0
0.36,0.3,24.0,0.7,11.4
0.39,0.54,101.0,0.51,9.5
0.58,0.01,18.0,0.56,10.5
0.57,0.26,65.0,0.43,10.1
0.5,0.21,39.0,0.83,11.1
0.87,0.0,31.0,0.5,9.8
0.53,0.49,17.0,0.56,11.7
0.51,0.18,101.0,0.87,12.9
0.25,0.49,33.0,0.9,10.0
0.62,0.12,46.0,0.89,11.8
0.48,0.31,15.0,0.55,10.3
0.26,0.44,19.0,0.82,9.3
0.39,0.16,23.0,0.56,9.3
0.54,0.0,55.0,0.84,11.4
0.24,0.42,22.0,1.05,10.8
0.37,0.32,51.0,0.72,11.8
0.29,0.38,30.0,0.53,9.5
0.51,0.09,9.0,0.54,10.5
0.63,0.0,77.5,0.45,9.5
0.84,0.03,48.0,0.56,12.3
0.51,0.23,22.0,0.84,11.2
0.29,0.49,59.0,0.67,10.1
0.42,0.38,60.0,0.7,10.8
0.61,0.08,24.0,0.77,11.1
0.34,0.33,37.0,0.77,12.1
0.68,0.02,94.0,0.52,10.0
0.38,0.38,42.0,0.72,12.9
0.57,0.21,9.0,0.54,9.8
0.655,0.16,25.0,0.55,9.7
0.545,0.18,35.0,0.59,9.0
0.56,0.09,32.0,0.6,11.3
0.615,0.66,42.0,0.73,10.0
0.66,0.34,88.0,0.66,10.1
0.59,0.31,62.0,0.63,10.2
0.415,0.36,45.0,0.64,9.2
0.39,0.12,24.0,0.53,13.3
0.59,0.0,44.0,0.68,10.8
0.72,0.55,52.0,0.94,10.0
0.57,0.02,35.0,0.62,10.8
0.67,0.19,75.0,0.59,9.2
0.68,0.0,26.0,0.53,9.5
0.74,0.19,76.0,0.55,9.4
